                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.48842,                 1.0626,                 1.0159,                0.62501,                0.76047,                0.85133,                 0.4885,                 1.6685,                 1.5571,                 2.5027,             8.4175e-05,             8.4175e-05,             8.4175e-05
                     69,                0.47676,                 1.0097,                0.99947,                0.57734,                0.82181,                0.86605,                0.49543,                 1.6132,                 1.5643,                 2.4492,               8.17e-05,               8.17e-05,               8.17e-05
                     70,                0.47341,                 1.0414,                 1.0215,                0.58823,                0.80532,                0.86506,                0.51063,                 1.6316,                 1.5588,                 2.4692,             7.9225e-05,             7.9225e-05,             7.9225e-05
                     71,                 0.4828,                  1.003,                 1.0044,                0.55825,                0.80068,                0.86831,                0.52134,                 1.5815,                  1.545,                 2.3958,              7.675e-05,              7.675e-05,              7.675e-05
                     72,                0.46729,                0.98927,                 1.0192,                0.64377,                0.76462,                0.86503,                0.53347,                 1.6057,                 1.4603,                 2.4357,             7.4275e-05,             7.4275e-05,             7.4275e-05
                     73,                0.45043,                0.96937,                0.99163,                0.60879,                0.79868,                0.85939,                0.53837,                 1.6854,                  1.541,                 2.5905,               7.18e-05,               7.18e-05,               7.18e-05
                     74,                0.49872,                0.96616,                 1.0143,                0.59988,                0.80675,                0.85968,                 0.5324,                 1.6591,                 1.5793,                 2.5706,             6.9325e-05,             6.9325e-05,             6.9325e-05
                     75,                0.48412,                0.97878,                  1.023,                0.60594,                0.80683,                 0.8611,                0.52942,                 1.6018,                 1.6047,                 2.4588,              6.685e-05,              6.685e-05,              6.685e-05
                     76,                0.46076,                0.96014,                 1.0036,                 0.6714,                0.71959,                0.86587,                0.54113,                 1.5705,                 1.6288,                 2.4048,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     77,                0.50106,                0.97465,                  1.027,                0.65448,                0.72285,                0.85254,                0.52713,                 1.5978,                 1.6951,                 2.4453,               6.19e-05,               6.19e-05,               6.19e-05
                     78,                0.50198,                0.95837,                 1.0239,                0.63838,                0.74838,                0.86306,                0.51047,                 1.6314,                 1.5807,                 2.5256,             5.9425e-05,             5.9425e-05,             5.9425e-05
                     79,                0.49124,                0.97453,                 1.0203,                0.66729,                0.74151,                0.86018,                0.51948,                 1.5959,                  1.672,                  2.529,              5.695e-05,              5.695e-05,              5.695e-05
